title,slug,language,artifact_type,retrieval_url,evidence_url,immutable_ref,status,notes
Additive Manufacturing Essentials,additive-manufacturing-essentials,en,official_git_snapshot,https://github.com/openstax/osbooks-additive-manufacturing/archive/26653ddb1048708bd974e8c11471e426b1ff5520.tar.gz,https://github.com/openstax/osbooks-additive-manufacturing/blob/26653ddb1048708bd974e8c11471e426b1ff5520/collections/additive-manufacturing-essentials.collection.xml,26653ddb1048708bd974e8c11471e426b1ff5520,ready,Exact earlier snapshot has internally consistent CC BY 4.0 collection and root license metadata. Supersedes 24bbb8006f63f7f24a5b8f1dc9119ef13b2594b4 whose newly added preface conflicted by saying CC BY-NC-SA. Filter separately credited media.
Algebra 1,algebra-1,en,official_git_snapshot,https://github.com/openstax/osbooks-algebra-1/archive/a277f9bb2abcc90d201a66879973463a45e5eaa4.tar.gz,https://github.com/openstax/osbooks-algebra-1/blob/a277f9bb2abcc90d201a66879973463a45e5eaa4/collections/algebra-1.collection.xml,a277f9bb2abcc90d201a66879973463a45e5eaa4,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Algebra and Trigonometry,algebra-and-trigonometry,en,official_versioned_web_book,https://openstax.org/books/algebra-and-trigonometry/pages/preface,https://openstax.org/books/algebra-and-trigonometry/pages/preface,13ac107a-f15f-49d2-97e8-60ab2e3b519c@ebc5beb,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Algebra and Trigonometry 2e,algebra-and-trigonometry-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-college-algebra-bundle/archive/4922e46ebc04326979e19392ccc2384cb8b9076c.tar.gz,https://github.com/openstax/osbooks-college-algebra-bundle/blob/4922e46ebc04326979e19392ccc2384cb8b9076c/collections/algebra-and-trigonometry-2e.collection.xml,4922e46ebc04326979e19392ccc2384cb8b9076c,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
American Government,american-government,en,official_fixed_pdf,https://assets.openstax.org/oscms-prodcms/media/documents/AmericanGovernment-OP.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/AmericanGovernment-OP.pdf,sha256:98b3e39befc2c086b4884579611ff5f699c9f6df8945842f5eb22a50c1a6a5d0,ready,Official fixed PDF front matter expressly identifies CC BY 4.0; hash immediately after download.
American Government 2e,american-government-2e,en,official_fixed_pdf,https://assets.openstax.org/oscms-prodcms/media/documents/american-government-2e-6.11.pdf,https://assets.openstax.org/oscms-prodcms/media/documents/american-government-2e-6.11.pdf,sha256:83c78392b2e6583d169c044a8d837020dcfc609b6112fa477f21d89c5fdca2ff,ready,Official fixed PDF front matter expressly identifies CC BY 4.0; hash immediately after download.
American Government 3e,american-government-3e,en,official_versioned_web_book,https://openstax.org/books/american-government-3e/pages/preface,https://openstax.org/books/american-government-3e/pages/preface,30e47181-f52c-4a91-9c11-33380c428268@dd9a377,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
American Government 4e,american-government-4e,en,official_git_snapshot,https://github.com/openstax/osbooks-american-government/archive/5c90dd7907dbf25f42266417e63ca3bb0012f031.tar.gz,https://github.com/openstax/osbooks-american-government/blob/5c90dd7907dbf25f42266417e63ca3bb0012f031/collections/american-government-4e.collection.xml,5c90dd7907dbf25f42266417e63ca3bb0012f031,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Anatomy and Physiology,anatomy-and-physiology,en,official_versioned_web_book,https://openstax.org/books/anatomy-and-physiology/pages/preface,https://openstax.org/books/anatomy-and-physiology/pages/preface,14fb4ad7-39a1-4eee-ab6e-3ef2482e3e22@ccce780,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Anatomy and Physiology 2e,anatomy-and-physiology-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-anatomy-physiology/archive/b0058a743bdd2cc08196abaaa7d5469970c0d80c.tar.gz,https://github.com/openstax/osbooks-anatomy-physiology/blob/b0058a743bdd2cc08196abaaa7d5469970c0d80c/collections/anatomy-and-physiology-2e.collection.xml,b0058a743bdd2cc08196abaaa7d5469970c0d80c,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Astronomy,astronomy,en,official_versioned_web_book,https://openstax.org/books/astronomy/pages/preface,https://openstax.org/books/astronomy/pages/preface,2e737be8-ea65-48c3-aa0a-9f35b4c6a966@faae451,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Astronomy 2e,astronomy-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-astronomy/archive/63157f370b09c06a4cc12832384aaaf4de1ced3b.tar.gz,https://github.com/openstax/osbooks-astronomy/blob/63157f370b09c06a4cc12832384aaaf4de1ced3b/collections/astronomy-2e.collection.xml,63157f370b09c06a4cc12832384aaaf4de1ced3b,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Biology,biology,en,official_versioned_web_book,https://openstax.org/books/biology/pages/preface,https://openstax.org/books/biology/pages/preface,185cbf87-c72e-48f5-b51e-f14f21b5eabd@e989ec3,ready,Rendered OpenStax state embeds CC BY 4.0 plus UUID/content version; mirror and hash every page before use.
Biology 2e,biology-2e,en,official_git_snapshot,https://github.com/openstax/osbooks-biology-bundle/archive/d2779c2edfb435e75047325434fe2fe93d5aa120.tar.gz,https://github.com/openstax/osbooks-biology-bundle/blob/d2779c2edfb435e75047325434fe2fe93d5aa120/collections/biology-2e.collection.xml,d2779c2edfb435e75047325434fe2fe93d5aa120,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
Biology for AP® Courses,biology-ap-courses,en,official_git_snapshot,https://github.com/openstax/osbooks-biology-bundle/archive/d2779c2edfb435e75047325434fe2fe93d5aa120.tar.gz,https://github.com/openstax/osbooks-biology-bundle/blob/d2779c2edfb435e75047325434fe2fe93d5aa120/collections/biology-ap-courses.collection.xml,d2779c2edfb435e75047325434fe2fe93d5aa120,ready,Collection metadata and repository snapshot identify CC BY 4.0. Filter separately credited media.
