start,end,peak,spike_observations,before_mean,slope_per_1000,baseline_spikes,post_start,post_end,post_complete,post_spikes,post_mean,predicted,residual
150665,150760,7.285525321960449,20,1.0897193942247057,0.000998353864585709,0,151760,156760,True,1,1.1008497970496007,1.098331612616763,0.002518184432837689
153530,153530,2.1963698863983154,1,1.1417878196803486,0.014887071922204493,20,154530,159530,True,0,1.0912005690336228,1.2681350809555896,-0.17693451192196674
171080,171715,10.631185531616211,96,1.091963549375534,-0.00025102625574385947,0,172715,177715,True,51,1.3783705275099318,1.0896703711328386,0.28870015637709323
173110,173555,7.638995170593262,51,1.3831431959569453,0.11501881078400998,96,174555,179555,True,27,1.1975300507741171,2.41222277084147,-1.214692720067353
177990,178715,5.672447204589844,27,1.5223223969839763,-0.04589930715349581,147,179715,184715,True,0,1.1022822093963622,1.0986961742781503,0.003586035118211983
215170,215240,7.319023609161377,6,1.0326338373720645,-0.0004615057007710748,0,216240,221240,True,0,1.029740346431732,1.028678733516457,0.0010616129152751785
226285,227050,9.879478454589844,100,1.0280152864012497,-0.00040687875889855565,0,228050,233050,True,224,2.1638194654242917,1.024257720130149,1.1395617452941427
228550,229220,12.885231971740723,125,1.276389739345228,0.08876957277932675,100,230220,235220,True,195,1.834665808558464,2.0902926235244825,-0.2556268149660186
230465,231295,10.56660270690918,71,1.5996178500538893,0.1695963280928305,225,232295,237295,True,129,1.5734364931583404,3.186937260775106,-1.6135007676167654
232535,235515,7.790472507476807,127,1.773734930396907,0.09230398980984765,296,236515,241515,True,138,1.8408045556545258,2.825966126628331,-0.9851615709738053
236610,236615,4.3529791831970215,2,1.849928295482439,-0.09012822341689167,358,237615,242615,True,171,1.9661306755542756,1.0845162789072462,0.8816143966470293
239845,241845,10.948978424072266,171,1.4897851760685443,-0.11216405771459859,200,242845,247845,True,27,1.2328000239133834,0.3120625700652597,0.9207374538481237
243800,243820,8.115732192993164,5,1.6475730482041835,0.03902941745116292,244,244820,249820,True,22,1.177197521328926,1.9801036848880922,-0.8029061635591661
244905,245045,11.371448516845703,22,1.5881623674035072,0.025787904877411665,184,246045,251045,True,0,1.0330990555286408,1.8109698655443445,-0.7778708100157037
278085,286750,24.092065811157227,705,1.0055251121520996,0.0024004513987449182,0,287750,292750,True,24,1.2308674325346947,1.0466264425952096,0.184240989939485
287910,288135,9.161925315856934,14,2.8591932477355004,-0.36788145812830536,705,289135,294135,True,10,1.1591618517041207,-0.3505724744339631,1.5097343261380838
290610,291145,7.2856011390686035,10,1.9472857723534107,-0.2166565605706738,365,292145,297145,True,0,1.074554504275322,-0.010206252402626625,1.0847607566779485
300555,300555,2.272231101989746,1,1.1039260842501668,-0.022657882851879245,10,301555,306555,True,0,1.0694997218847275,0.9109737811955324,0.15852594068919512
