start,end,before_mean,slope_per_1000,post_start,post_end,post_mean,predicted,residual,baseline_spikes,post_spikes,post_complete,baseline_observations,post_observations
150665,150760,0.7516848705727672,-0.00013105005680356528,151760,156760,0.7496312844729376,0.7505554391455892,-0.0009241546726516114,0,1,True,1993,998
153530,153530,0.7443977313715869,-0.002123063039048119,154530,159530,0.7512537140250206,0.7263792858007412,0.024874428224279432,20,0,True,1991,1000
171080,171715,0.7509818010032177,6.758981987946596e-05,172715,177715,0.7149988344000714,0.7515992483850307,-0.03660041398495928,0,51,True,2000,999
173110,173555,0.7166777022585739,-0.013458190677652528,174555,179555,0.7347256925490286,0.5962665360600196,0.13845915648900908,96,27,True,2000,999
177990,178715,0.699532119673968,0.0050296452099375085,179715,184715,0.7489364753961563,0.7459547392552147,0.002981736140941549,147,0,True,1999,1000
215170,215240,0.7614694930911065,8.362447767330897e-05,216240,221240,0.7619460969567299,0.7621861548647668,-0.00024005790803693916,0,0,True,2000,1000
226285,227050,0.7621401894563672,4.152340399753714e-05,228050,233050,0.6230930886987662,0.7625231646248325,-0.13943007592606627,0,224,True,1999,1019
228550,229220,0.7315384942112028,-0.011074738476530701,230220,235220,0.6498933962534648,0.6299969790217009,0.01989641723176383,100,195,True,1999,1000
230465,231295,0.6925108066851844,-0.020744219673814398,232295,237295,0.6772524722311646,0.4983759214881399,0.17887655074302466,225,129,True,2018,1000
232535,235515,0.6713565369027024,-0.011329589850741808,236515,241515,0.6626515637897538,0.5422877504570586,0.12036381333269519,296,138,True,2018,1000
236610,236615,0.6526826394403814,0.008662198784483493,237615,242615,0.6483525382336811,0.726271836413655,-0.0779192981799739,358,171,True,2019,1000
239845,241845,0.6961742342611542,0.01380922395452031,242845,247845,0.7373684475985356,0.8411710857836178,-0.10380263818508217,200,27,True,2000,1000
243800,243820,0.6797086756853677,-0.001752762365073527,244820,249820,0.7454572932147421,0.6647751403349413,0.08068215287980074,244,22,True,2000,1000
244905,245045,0.6904725590274029,-0.0020132016862796885,246045,251045,0.7615113726258278,0.6730784964579465,0.08843287616788131,184,0,True,2000,1000
278085,286750,0.7692800303869597,8.78691571938192e-05,287750,292750,0.7348506871759891,0.7708072159531791,-0.03595652877719002,0,24,True,1989,1000
287910,288135,0.5496162882820991,0.039751041946891344,289135,294135,0.7448027449473739,0.8964441292687262,-0.15164138432135232,705,10,True,2000,1000
290610,291145,0.6474292543885531,0.028131673110631496,292145,297145,0.7585232064127923,0.901598920943109,-0.14307571453031676,365,0,True,2000,1000
300555,300555,0.7539637633690647,0.003661979014992367,301555,306555,0.7595294516682625,0.7851522986689207,-0.0256228470006582,10,0,True,1989,1000
309025,309650,0.7603851099479372,0.00012964110346228402,310650,315650,0.7227394669799005,0.7615723321228045,-0.03883286514290396,1,73,True,1989,999
311370,313750,0.7453013348672539,-0.004915682566177135,314750,319750,0.7638140142783523,0.6918187085472468,0.07199530573110546,64,6,True,2000,1000
318615,318695,0.7287470150736319,0.009994035728264352,319695,324695,0.7707959836125374,0.8144593269673177,-0.04366334335478028,137,0,True,1999,1000
