rank,model,params_B,noemb_B,english,math_code,danish,overall
1,Mistral-Small-4-119B,119.40,118.33,76.1,81.8,55.0,71.0
2,Mistral-Large-2411,122.61,121.80,72.3,75.0,61.0,69.5
3,Ministral-3-14B,13.95,12.6,74.8,77.2,45.1,65.7
4,Ministral-3-8B,8.92,7.84,71.3,75.4,45.3,64.0
5,Mixtral-8x22B,140.63,140.23,76.9,62.6,50.2,63.2
6,HRM-Mimir-v1,1.79,0.98,69.8,62.9,56.7,63.1
7,Qwen3.5-4B,4.66,4.02,67.1,70.7,47.9,61.9
8,Apertus-v1.5-8B,9.16,6.98,65.2,67.9,50.9,61.3
9,Mistral-Small-3.2,23.57,22.23,66.4,68.4,47.0,60.6
10,Devstral-2,24.01,22.67,54.5,79.9,47.0,60.5
11,Ministral-3-3B,3.85,3.45,65.7,71.7,39.5,59.0
12,EuroLLM-22B,22.64,21.06,58.6,60.7,53.3,57.5
13,Gemma-4-E2B-it-thinking,5.12,2.37,54.3,68.9,47.6,56.9
14,Apertus-70B,70.6,68.45,70.4,48.5,50.9,56.6
15,Munin-Mistral3-8B,8.49,7.42,72.3,49.2,45.2,55.6
16,Gemma-4-E2B-it,5.12,2.37,50.0,69.7,43.1,54.3
17,EuroLLM-9B,9.15,8.1,60.7,48.5,50.7,53.3
18,SmolLM3-3B,3.08,2.81,62.2,64.0,30.0,52.1
19,Munin-Qwen3.5-9B,9.65,7.62,75.5,34.0,41.5,50.3
20,Apertus-8B,8.05,6.98,62.0,40.5,48.2,50.2
21,Mixtral-8x7B,46.7,46.44,68.9,37.0,39.8,48.6
22,Qwen3.5-2B,2.27,1.77,58.5,53.8,33.3,48.5
23,Mistral-Nemo,12.25,10.91,59.7,52.2,30.0,47.3
24,CohereLabs-tiny-aya-global,3.35,2.81,49.2,47.0,44.9,47.0
25,Apertus-v1.5-70B,72.82,68.45,71.4,27.0,40.0,46.1
26,HRM-Text-1B,1.18,0.98,67.5,46.8,20.2,44.8
27,Apertus-4B,3.83,3.02,56.4,37.5,40.4,44.7
28,Mistral-7B-v0.3,7.25,6.98,58.5,32.6,40.0,43.7
29,Munin-Apertus-8b,8.05,6.98,59.1,24.6,46.0,43.2
30,Munin-DFM-7B,7.0,6.48,55.0,26.0,44.5,41.8
31,Gemma-3-1b-it,1.0,0.7,39.4,48.8,35.2,41.1
32,SmolLM3-3B-thinking,3.08,2.81,30.2,62.0,28.2,40.2
33,Qwen3.5-0.8B,0.87,0.62,48.6,37.4,32.6,39.5
34,NorMistral-11B,11.43,10.91,51.3,17.0,47.7,38.7
35,AI-Sweden-Llama3-8B,8.03,6.98,60.5,24.2,29.2,38.0
36,Ministral-8B-2410,8.02,6.95,60.2,35.0,13.4,36.2
37,OLMo-2-1B-Instruct,1.48,1.07,45.7,35.3,27.5,36.1
38,Apertus-1.5B,1.51,0.97,43.3,18.6,33.4,31.8
39,EuroMoE-2.6B,2.61,2.48,38.1,17.4,27.4,27.7
40,GPT-SW3-6.7B,7.11,6.59,35.6,10.5,34.1,26.7
41,LeoLM-7B,6.74,6.48,44.7,10.5,18.8,24.7
42,EuroLLM-1.7B,1.66,1.13,36.2,10.4,25.9,24.2
43,DFM-Decoder-7B,7.0,6.48,49.9,11.5,10.4,23.9
44,NorMistral-7B-Warm,7.25,6.98,35.7,6.7,27.2,23.2
45,OpenEuroLLM-9B,9.1,6.95,47.7,1.8,19.6,23.0
46,Apertus-0.5B,0.57,0.3,33.0,9.3,24.4,22.2
47,GPT-SW3-1.3B,1.44,1.31,30.5,4.6,27.3,20.8
48,GPT-SW3-356M,0.47,0.41,25.1,1.5,22.3,16.3
49,CroissantLLM-Chat,1.35,1.21,26.6,2.1,12.1,13.6
50,CroissantLLM-Base,1.35,1.21,26.6,0.6,9.3,12.2
51,Qwen3.5-0.8B-thinking,0.87,0.62,25.0,0.0,2.5,9.2
